//Some tables have a BLOB table tied to them. In this case if the row exists increment the version and insert a new entry. If the row doesnt exist use version 1. If the row was unchanged do nothing and leave as is
//Site comes from /prisma/seed/import/config.ts
=== ProcessType ===
//For anything Process realted later it will have to use the name to link back and get the ID
name                                               Description
-------------------------------------------------- ----------------------------------------------------------------------------------------------------
ALL                                                All
ASSY                                               Full Assembly
BLANK                                              BLANK
CNC                                                CNC
MET                                                Metallization
MOLD                                               Molding
N/A                                                N/A
PAINT                                              Paint
SUBASSY                                            Sub Assembly

(9 rows affected)

=== Product ===
//For anything Part realted later it will have to use the name to link back and get the ID
sku                                                                                                  Name                                               weight        itemCost
---------------------------------------------------------------------------------------------------- -------------------------------------------------- ------------- ---------------------
CAP001                                                                                               500ml Sports Bottle Cap                            0             NULL
VEN001                                                                                               55950-02160 Nozzle Asy,Def Corolla                 0             NULL
VEN002                                                                                               55950-0K010 Nozzle Assy,Def Hi-Lux                 0             NULL
VEN005                                                                                               66413-02020 Spacer Mate RH                         0             NULL
VEN003                                                                                               66414-02050 Spacer Rail RH                         0             NULL
VEN006                                                                                               66423-02020 Spacer Mate LH                         0             NULL
VEN004                                                                                               66424-02050 Spacer Rail LH                         0             NULL
VEN009                                                                                               76625-0K090 Mud Flap B Small                       0             NULL
VEN007                                                                                               76625-0K150 Mud Flap B Large                       0             NULL
VEN010                                                                                               76626-0K090 Mud Flap A Small                       0             NULL
VEN008                                                                                               76626-0K150 Mud Flap A Large                       0             NULL
MEG0006                                                                                              Albany bread Tray-A1073                            1482          NULL
CUS0008                                                                                              Baby Clipboard Hanger 8cavity                      NULL          NULL
CUS003                                                                                               Bed Leg (120grams black - KZN Polymers)            0             NULL
CUS004                                                                                               Bill - Chicken Crate Grey                          NULL          NULL
PAL0002                                                                                              Bulk Paletts Venture                               0             NULL
PAL0003                                                                                              Bulk Paletts Venture-CHEP                          0             NULL
OFCHOP01                                                                                             CHOPPING BOARD                                     NULL          NULL
CUS0005                                                                                              Custom - L Clip Brown                              NULL          NULL
CUS0006                                                                                              Custom - Ola Scraper                               NULL          NULL
CUSC002                                                                                              CUSTOM CRATE CLIP 4311                             NULL          NULL
CUSC001                                                                                              CUSTOM CRATE TOYOTA 4311                           NULL          NULL
CUSC003                                                                                              CUSTOM CRATE TOYOTA 4622                           NULL          NULL
CUSSOL01                                                                                             Custom Nylon Cleats                                NULL          NULL
CUSNY001                                                                                             Custom Nylon Handle Base                           NULL          NULL
CUSNY002                                                                                             Custom Nylon Handle Inserts X 16                   NULL          NULL
OCUS001                                                                                              Custom Paint Pallet                                0             NULL
CUS0002                                                                                              Custom Paint Pallet 5/36pac(box)                   0             NULL
CUS0001                                                                                              Custom Paint Pallet 5/45pac(box)                   0             NULL
CUSP001                                                                                              CUSTOM PREMIER LID BB                              NULL          NULL
CUSP004                                                                                              CUSTOM PREMIER LID BLUE RIBBON                     NULL          NULL
CUSP002                                                                                              CUSTOM PREMIER LID MISTER                          NULL          NULL
CUSP003                                                                                              CUSTOM PREMIER LID STAR BAKE                       NULL          NULL
CUSSH21                                                                                              CUSTOM SHIELD HEADBAND ABS                         NULL          NULL
CUSSH2                                                                                               CUSTOM SHIELD HEADBAND HDPE                        NULL          NULL
CUSSH1                                                                                               CUSTOM SHIELD STRAP                                NULL          NULL
CUSSH3                                                                                               CUSTOM SHIELD VISOR                                NULL          NULL
CUSSOL02                                                                                             Custom Soft Cleats                                 NULL          NULL
CUSSOL03                                                                                             Custom Window Corner Cleat                         NULL          NULL
MEG006                                                                                               Dairybelle Crate Black-942                         0             NULL
OFO751                                                                                               Fussy  Stroke 5 Caps Yellow/1000                   0             NULL
OFLBB1                                                                                               Fussy 1.2 L Step Lunch Box Base                    0             1,1018
OFLBL1                                                                                               Fussy 1.2 L Stepped Lunch Box Lid                  0             1,695
OF1LJL1                                                                                              Fussy 1.5 L Side Jug Lid                           0             NULL
OF1LJB1                                                                                              Fussy 1.5L Side Jug Only                           114           1,9323
OFTB03                                                                                               Fussy 1000ml Tubster Base                          0             NULL
OFLEO003                                                                                             Fussy 10L Leo Bowl Base                            242           3,28
OFLEO004                                                                                             Fussy 10L Leo Bowl Lid                             NULL          3,28
O10LSB01                                                                                             Fussy 10L Stripe Bucket Base                       NULL          NULL
O10LSBH01                                                                                            Fussy 10L Stripe Bucket Handle                     NULL          NULL
O10LSBL01                                                                                            Fussy 10L Stripe Bucket Lid                        NULL          NULL
OF11LH01                                                                                             Fussy 11L Bucket Handle                            0             NULL
OF11LL01                                                                                             Fussy 11L Bucket Lid                               0             NULL
OF11LB01                                                                                             Fussy 11L Bucket Only                              0             NULL
OFFB02                                                                                               Fussy 1500ml Food Storer Base                      0             NULL
OFFL02                                                                                               Fussy 1500ml Food Storer Lid                       0             NULL
OF1LBB01                                                                                             Fussy 1L Bucket Base                               0             NULL
OF1LBH01                                                                                             Fussy 1L Bucket Handle                             0             NULL
OF1LBL01                                                                                             Fussy 1L Bucket Lid                                0             NULL
OF1LJL                                                                                               Fussy 1L Jug Lid                                   0             NULL
OF1LJB                                                                                               Fussy 1L Jug Only Natural                          0             NULL
OFLBB                                                                                                Fussy 1L Lunch Box Base                            60            NULL
OFLBL                                                                                                Fussy 1L Lunch Box Lid                             0             NULL
O20LSB01                                                                                             Fussy 20L Stripe Bucket Base                       0             NULL
O20LSH01                                                                                             Fussy 20L Stripe Bucket Handle                     0             NULL
O20LSL01                                                                                             Fussy 20L Stripe Bucket Lid                        0             NULL
OFTB04                                                                                               Fussy 2250ml Tubster Base                          0             NULL
OFTL04                                                                                               Fussy 2250ml Tubster Lid                           0             NULL
OFMIX01                                                                                              Fussy 24cm Mixing Bowl                             0             NULL
OFMIX02                                                                                              Fussy 28cm Mixing Bowl                             0             NULL
OF2LJB02                                                                                             Fussy 2L Fancy Jug Base                            NULL          1,60
OF2LJL02                                                                                             Fussy 2L Fancy Jug Lid                             NULL          0,42
OF2LJL01                                                                                             Fussy 2L Jug Lid                                   0             NULL
OF2LJB01                                                                                             Fussy 2L Jug Only Natural                          0             NULL
OFSP0021                                                                                             Fussy 300ml Sports Bottle Cap                      0             NULL
OFSP002                                                                                              Fussy 300ml Sports Bottle Round                    0             NULL
OFSP0022                                                                                             Fussy 300ml Sports Bottle Spout                    0             NULL
