//Some tables have a BLOB table tied to them. In this case if the row exists increment the version and insert a new entry. If the row doesnt exist use version 1. If the row was unchanged do nothing and leave as is
//Site comes from /prisma/seed/import/config.ts
=== ProcessType ===
//For anything Process realted later it will have to use the name to link back and get the ID
name                                               Description
-------------------------------------------------- ----------------------------------------------------------------------------------------------------
ALL                                                All
ASSY                                               Full Assembly
BLANK                                              BLANK
CNC                                                CNC
MET                                                Metallization
MOLD                                               Molding
N/A                                                N/A
PAINT                                              Paint
SUBASSY                                            Sub Assembly

(9 rows affected)

=== Product ===
//For anything Part realted later it will have to use the name to link back and get the ID
sku                                                                                                  Name                                               weight
---------------------------------------------------------------------------------------------------- -------------------------------------------------- -------------
WK001                                                                                               500ml Sports Bottle Cap                            0
WK258                                                                                               58120-03240 Nozzle Asy,Def Celica                 0
WK259                                                                                               58120-0M020 Nozzle Assy,Def Kappa                 0
WK262                                                                                               68510-03030 Spacer Mate RH                         0
WK260                                                                                               68520-03060 Spacer Rail RH                         0
WK263                                                                                               68530-03030 Spacer Mate LH                         0
WK261                                                                                               68540-03060 Spacer Rail LH                         0
WK266                                                                                               78720-0M100 Mud Flap B Small                       0
WK264                                                                                               78720-0M160 Mud Flap B Large                       0
WK267                                                                                               78730-0M100 Mud Flap A Small                       0
WK265                                                                                               78730-0M160 Mud Flap A Large                       0
WK034                                                                                              Harlow bread Tray-A1073                            1482
WK010                                                                                              Baby Clipboard Hanger 8cavity                      NULL
WK012                                                                                               Bed Leg (120grams black - Metro Plastics)            0
WK013                                                                                               Glen - Poultry Crate Grey                          NULL
WK248                                                                                              Bulk Paletts Summit                               0
WK249                                                                                              Bulk Paletts Summit-LOGX                          0
WK117                                                                                             CHOPPING BOARD                                     NULL
WK007                                                                                              Custom - L Clip Brown                              NULL
WK008                                                                                              Custom - Nova Scraper                               NULL
WK015                                                                                              CUSTOM CRATE CLIP 4311                             NULL
WK014                                                                                              CUSTOM CRATE MOTEX 4311                           NULL
WK016                                                                                              CUSTOM CRATE MOTEX 4622                           NULL
WK028                                                                                             Custom Nylon Cleats                                NULL
WK017                                                                                             Custom Nylon Handle Base                           NULL
WK018                                                                                             Custom Nylon Handle Inserts X 16                   NULL
WK052                                                                                              Custom Paint Pallet                                0
WK003                                                                                              Custom Paint Pallet 5/36pac(box)                   0
WK002                                                                                              Custom Paint Pallet 5/45pac(box)                   0
WK019                                                                                              CUSTOM PRESTIGE LID BB                              NULL
WK022                                                                                              CUSTOM PRESTIGE LID GOLD RIBBON                     NULL
WK020                                                                                              CUSTOM PRESTIGE LID MASTER                          NULL
WK021                                                                                              CUSTOM PRESTIGE LID SUN BAKE                       NULL
WK025                                                                                              CUSTOM SHIELD HEADBAND ABS                         NULL
WK024                                                                                               CUSTOM SHIELD HEADBAND HDPE                        NULL
WK023                                                                                               CUSTOM SHIELD STRAP                                NULL
WK027                                                                                               CUSTOM SHIELD VISOR                                NULL
WK029                                                                                             Custom Soft Cleats                                 NULL
WK030                                                                                             Custom Window Corner Cleat                         NULL
WK036                                                                                               Greendale Crate Black-942                         0
WK184                                                                                               Tidy  Stroke 5 Caps Yellow/1000                   0
WK146                                                                                               Tidy 1.2 L Step Lunch Box Base                    0
WK152                                                                                               Tidy 1.2 L Stepped Lunch Box Lid                  0
WK062                                                                                              Tidy 1.5 L Side Jug Lid                           0
WK060                                                                                              Tidy 1.5L Side Jug Only                           114
WK220                                                                                               Tidy 1000ml Tubster Base                          0
WK158                                                                                             Tidy 10L Leo Bowl Base                            242
WK159                                                                                             Tidy 10L Leo Bowl Lid                             NULL
WK043                                                                                             Tidy 10L Stripe Bucket Base                       NULL
WK044                                                                                            Tidy 10L Stripe Bucket Handle                     NULL
WK045                                                                                            Tidy 10L Stripe Bucket Lid                        NULL
WK054                                                                                             Tidy 11L Bucket Handle                            0
WK055                                                                                             Tidy 11L Bucket Lid                               0
WK053                                                                                             Tidy 11L Bucket Only                              0
WK134                                                                                               Tidy 1500ml Food Storer Base                      0
WK136                                                                                               Tidy 1500ml Food Storer Lid                       0
WK056                                                                                             Tidy 1L Bucket Base                               0
WK057                                                                                             Tidy 1L Bucket Handle                             0
WK058                                                                                             Tidy 1L Bucket Lid                                0
WK061                                                                                               Tidy 1L Jug Lid                                   0
WK059                                                                                               Tidy 1L Jug Only Natural                          0
WK144                                                                                                Tidy 1L Lunch Box Base                            60
WK150                                                                                                Tidy 1L Lunch Box Lid                             0
WK046                                                                                             Tidy 20L Stripe Bucket Base                       0
WK047                                                                                             Tidy 20L Stripe Bucket Handle                     0
WK048                                                                                             Tidy 20L Stripe Bucket Lid                        0
WK221                                                                                               Tidy 2250ml Tubster Base                          0
WK225                                                                                               Tidy 2250ml Tubster Lid                           0
WK166                                                                                              Tidy 24cm Mixing Bowl                             0
WK167                                                                                              Tidy 28cm Mixing Bowl                             0
WK064                                                                                             Tidy 2L Fancy Jug Base                            NULL
WK066                                                                                             Tidy 2L Fancy Jug Lid                             NULL
WK065                                                                                             Tidy 2L Jug Lid                                   0
WK063                                                                                             Tidy 2L Jug Only Natural                          0
WK208                                                                                             Tidy 300ml Sports Bottle Cap                      0
WK207                                                                                              Tidy 300ml Sports Bottle Round                    0
WK209                                                                                             Tidy 300ml Sports Bottle Spout                    0
WK219                                                                                               Tidy 300ml Tubster Base                           0
WK224                                                                                               Tidy 300ml Tubster Lid                            0
WK067                                                                                               Tidy 30L Oval tub Virgin                          0
WK139                                                                                               Tidy 350ml Juice Bottle Only                      0
WK183                                                                                               Tidy 350ml Mugs                                   0
WK160                                                                                             Tidy 4.0L Leo Bowl Base                           NULL
WK161                                                                                             Tidy 4.0L Leo Bowl Lid                            NULL
WK069                                                                                              Tidy 40cm Basin NEW                               NULL
WK068                                                                                               Tidy 40cm Basins                                  0
WK070                                                                                               Tidy 42cm Fancy Handle Basin                      0
WK071                                                                                               Tidy 43cm Basins                                  0
WK072                                                                                               Tidy 48cm Basins                                  0
WK073                                                                                               Tidy 48cm Basins Black                            0
WK074                                                                                               Tidy 500ml Mini Base                              0
WK206                                                                                              Tidy 500ml Sports Bottle                          0
WK076                                                                                             Tidy 500ml Tub Base                               0
WK077                                                                                             Tidy 500ml Tub Lid                                0
WK079                                                                                                Tidy 50L Oval Tub Black                           0
WK080                                                                                                Tidy 50L Oval Tub Offspec Colors                  0
WK078                                                                                                Tidy 50L Oval tub Virgin                          0
WK082                                                                                              Tidy 57cm Basins Black                            660
WK081                                                                                              Tidy 57cm Basins Colors                           0
WK083                                                                                              Tidy 58cm Plain Basin Color                       0
WK085                                                                                             Tidy 5L  Handle                                   0
WK086                                                                                             Tidy 5L  Lid                                      0
WK087                                                                                             Tidy 5L Square Bucket Base                        0
WK088                                                                                             Tidy 5L Square Bucket Handle                      0
WK089                                                                                             Tidy 5L Square Bucket Lid                         0
WK049                                                                                              Tidy 5L Stripe  Bucket                            NULL
WK050                                                                                             Tidy 5L Stripe Bucket Handle                      NULL
WK051                                                                                             Tidy 5L Stripe Bucket Lid                         NULL
WK084                                                                                             Tidy 5L Tamper Bucket Base                        0
WK156                                                                                             Tidy 6.5L Leo Bowl Base                           174
WK157                                                                                             Tidy 6.5L Leo Bowl Lid                            134
WK133                                                                                               Tidy 750ml Food Storer Base                       0
WK135                                                                                               Tidy 750ml Food Storer Lid                        0
WK095                                                                                              Tidy 9L Bucket Lid                                0
WK090                                                                                              Tidy 9L Bucket Only                               0
WK092                                                                                              Tidy 9L Handle                                    0
WK094                                                                                              Tidy 9L Jumbo Storer Base                         0
WK093                                                                                              Tidy 9L Metal Handle                              0
WK091                                                                                              Tidy 9L Stripe Bucket Only (INDIA)                0
WK097                                                                                              Tidy Basket Handle                                0
WK104                                                                                                Tidy Biscuit Barrel Base Large                    0
WK098                                                                                              Tidy Biscuit Barrel Base Midi                     86
WK105                                                                                                Tidy Biscuit Barrel Lid Large                     0
WK099                                                                                              Tidy Biscuit Barrel Lid Midi                      0
WK100                                                                                              Tidy Biscuit Barrel Mini Base                     NULL
WK101                                                                                              Tidy Biscuit Barrel Mini Lid                      NULL
WK163                                                                                               Tidy Bottle Hinged Lunch Box Base                 0
WK102                                                                                               Tidy Bread Box Base                               200
WK103                                                                                               Tidy Bread Box Top                                239
WK114                                                                                             Tidy Cereal Base Large                            0
WK113                                                                                             Tidy Cereal Base Medium                           0
WK112                                                                                             Tidy Cereal Base Small                            0
WK116                                                                                             Tidy Cereal Lid Flap                              0
WK115                                                                                             Tidy Cereal Lid Main                              0
WK122                                                                                             Tidy Decor 2.5L Slim Base                         0
WK121                                                                                             Tidy Decor 4L Base                                0
WK120                                                                                              Tidy Decor 6L Base                                0
WK124                                                                                              Tidy Decor 6L Inner Server                        0
WK123                                                                                              Tidy Decor 6L Lid                                 0
WK106                                                                                             Tidy Decore 1L Bottle                             0
WK108                                                                                             Tidy Decore 1L Bottle Flap                        0
WK107                                                                                             Tidy Decore 1L Bottle Main Cap                    0
WK186                                                                                               Tidy Deep Plates                                  0
WK126                                                                                              Tidy Designer Box Handle                          0
WK125                                                                                              Tidy Designer L/Box                               0
WK131                                                                                             Tidy Dessert Spoons 24                            0
WK127                                                                                              Tidy Dishrack                                     0
WK129                                                                                             Tidy Dishrack Black                               0
WK130                                                                                             Tidy Dishrack Silver                              0
WK128                                                                                             Tidy Dishrack White                               0
WK132                                                                                              Tidy Dustpan Large                                0
WK110                                                                                              Tidy Fruit Bowls                                  0
WK137                                                                                              Tidy Hangers                                      0
WK162                                                                                               Tidy Hinge Lunch Box                              0
WK138                                                                                              Tidy Juice Bottle Cap Only                        0
WK149                                                                                               Tidy Jumbo Lunch Box                              NULL
WK140                                                                                              Tidy Laundry Basket                               0
WK141                                                                                               Tidy Linen Basket Base                            0
WK143                                                                                               Tidy Linen Basket Handle                          NULL
WK142                                                                                               Tidy Linen Basket Lid                             0
WK148                                                                                              Tidy Mini Hinged Lunch Box                        0
WK075                                                                                               Tidy Mini Lid                                     0
WK227                                                                                               Tidy Mini Oval Tub                                0
